Cases,location,long,lat,Traffic,PctBeds,Distancing,SocialDist,PctVentila,AgeDistrib,Vaccines,Population,Area,PctCases,temp
8332,Alabama_Autauga,-86.6441,32.5395,88.45704,0.83,5,1,0.79,0.501651,0.714,56145,1565,148.4014605,27.199976
31313,Alabama_Baldwin,-87.7221,30.7277,86.99743,0.89,5,1,0.53,0.609505,0.653,229287,4353,136.5668355,28.425012
2878,Alabama_Barbour,-85.3871,31.8683,102.291762,0.78,5,1,1,0.579674,0.704,24589,2343,117.0442068,28.249994
3306,Alabama_Bibb,-87.1251,32.9964,29.33558,0.46,4,1,0.5075,0.5427,0.755,22136,1622,149.349476,26.966669
8173,Alabama_Blount,-86.5679,33.9821,33.411782,0.6,5,1,0.14,0.57551,0.791,57879,1685,141.208383,25.730005
1346,Alabama_Bullock,-85.7127,32.1003,4.066538,0.42,3,1,0.5188,0.526341,0.632,9976,1619,134.9238172,28.149988
2694,Alabama_Butler,-86.6806,31.753,19.311068,0.75,5,1,1,0.599824,0.714,19504,2014,138.1255127,28.199976
16949,Alabama_Calhoun,-85.8263,33.7748,109.899163,0.83,5,1,0.51,0.553961,0.67,113469,1586,149.3711939,26.199976
4500,Alabama_Chambers,-85.3907,32.9136,20.271587,0.57,5,1,0.3475,0.597858,0.772,32865,1562,136.9237791,27.199976
2290,Alabama_Cherokee,-85.6064,34.1781,25.908887,0.32,5,1,0,0.649345,0.764,26294,1554,87.09211227,24.416681
5343,Alabama_Chilton,-86.7173,32.8504,28.801205,0.43,5,1,0.19,0.531089,0.757,44397,1815,120.3459693,27.183313
668,Alabama_Choctaw,-88.2656,32.0223,17.189833,0.16,4,1,0,0.656152,0.557,12418,2385,53.7928813,27.892847
4045,Alabama_Clarke,-87.8355,31.681,66.287632,0.37,4,1,0.02,0.599824,0.654,23291,3244,173.6722339,27.950006
1845,Alabama_Clay,-85.8584,33.2698,37.23049,0.38,4,1,0,0.615195,0.708,13112,1569,140.7107993,26.716669
1772,Alabama_Cleburne,-85.5201,33.6768,41.333776,0.7225,4,1,0.1975,0.59588,0.777,14967,1453,118.3937997,25.950006
7622,Alabama_Coffee,-85.989,31.3993,58.321197,0.81,5,1,0.6498,0.5427,0.732,53230,1763,143.1899305,28.483331
7403,Alabama_Colbert,-87.8017,34.6985,80.776855,0.69,5,1,0.4,0.605663,0.635,55411,1615,133.6016314,25.425012
1450,Alabama_Conecuh,-86.9932,31.434,34.495784,0.83,4,1,0.3713,0.647624,0.695,11851,2209,122.3525441,28.149988
1337,Alabama_Coosa,-86.2485,32.9369,24.292869,0.5925,3,1,0.4312,0.651059,0.693,10650,1726,125.5399061,27.209985
5501,Alabama_Covington,-86.4505,31.2478,42.463349,0.81,5,1,0.38,0.628144,0.74,36930,2703,148.9574871,28.500024
1938,Alabama_Crenshaw,-86.3159,31.7294,57.646953,0.42,4,1,0,0.585834,0.747,13681,1582,141.6563117,28.249994
11804,Alabama_Cullman,-86.8689,34.1302,51.37029,0.93,5,1,0.9,0.579674,0.716,84515,1955,139.6675146,25.674982
7018,Alabama_Dale,-85.611,31.4304,41.485754,0.93,5,1,1.4,0.538099,0.616,48959,1457,143.3444311,28.550012
4078,Alabama_Dallas,-87.1087,32.3269,60.708335,0.58,5,1,0.79,0.553961,0.7,36098,2574,112.9702477,27.430017
10447,Alabama_DeKalb,-85.8078,34.4595,53.003999,0.72,5,1,0.17,0.5427,0.773,71658,2017,145.7897234,24.183313
12348,Alabama_Elmore,-86.1442,32.5979,57.061954,0.3,5,1,0,0.499089,0.682,82158,1702,150.2957716,27.450006
5500,Alabama_Escambia,-87.1592,31.1257,35.833805,0.62,5,1,0.4,0.564891,0.76,36281,2468,151.5944985,27.950006
16483,Alabama_Etowah,-86.0405,34.0457,140.043657,0.91,5,1,0.58,0.585834,0.712,102371,1421,161.0123961,25.216669
2438,Alabama_Fayette,-87.7389,33.7208,34.075608,0.73,4,1,0,0.628144,0.746,16241,1630,150.1139092,26.433344
5032,Alabama_Franklin,-87.8429,34.4424,40.926372,0.56,5,1,0.16,0.540407,0.685,31507,1675,159.7105405,25.950006
3490,Alabama_Geneva,-85.8357,31.0939,44.822864,0.7,5,1,0.56,0.607589,0.724,26411,1499,132.1419106,28.450006
1073,Alabama_Greene,-87.9568,32.855,35.0658,0.61,4,1,0.2622,0.626321,0.643,7990,1709,134.2928661,27.409998
2549,Alabama_Hale,-87.6328,32.7604,42.621492,0.33,4,1,0.2812,0.585834,0.551,14670,1700,173.7559646,27.450006
2533,Alabama_Henry,-85.2427,31.5115,29.318003,0.7775,4,1,0.5525,0.647624,0.678,17223,1472,147.0707774,28.749994
14033,Alabama_Houston,-85.2994,31.152,139.957301,0.96,5,1,0.74,0.556173,0.689,106580,1506,131.6663539,28.550012
7920,Alabama_Jackson,-85.9975,34.7814,29.913253,0.71,5,1,0.56,0.601781,0.657,51582,2919,153.5419332,24.149988
96037,Alabama_Jefferson,-86.8951,33.5555,419.071847,0.83,5,1,0.49,0.511724,0.57,655342,2911,146.5448575,26.230005
1652,Alabama_Lamar,-88.0967,33.78,28.620643,0.6275,4,1,0.3262,0.638895,0.681,13764,1569,120.0232491,26.935724
11434,Alabama_Lauderdale,-87.6562,34.9017,108.459398,0.86,5,1,1.05,0.605663,0.645,93368,1864,122.4616571,25.975
3569,Alabama_Lawrence,-87.3107,34.5204,30.072635,0.24,5,1,0.05,0.567039,0.656,32857,1857,108.6222114,25.969995
19342,Alabama_Lee,-85.3513,32.6015,120.034278,0.91,5,1,0.29,0.399505,0.696,166831,1595,115.9376854,27.225
11975,Alabama_Limestone,-86.9831,34.8119,49.284103,0.75,5,1,0.23,0.504195,0.73,102228,1573,117.1401182,25.749994
1545,Alabama_Lowndes,-86.6516,32.1597,11.47899,0.5237,4,1,0.51,0.577598,0.653,9641,1878,160.2530858,28.216669
1874,Alabama_Macon,-85.6927,32.3876,14.698931,0.6412,4,1,0.467,0.591894,0.653,17895,1588,104.7219894,27.174982
41524,Alabama_Madison,-86.5507,34.7633,199.023198,0.86,5,1,0.71,0.493913,0.535,379453,2105,109.4312076,24.899988
2868,Alabama_Marengo,-87.788,32.2477,81.482563,0.85,4,1,0.31,0.597858,0.618,18733,2545,153.0988096,27.450006
3893,Alabama_Marion,-87.887,34.137,56.105226,0.5,5,1,0.75,0.633558,0.737,29703,1926,131.0642023,26.450006
14712,Alabama_Marshall,-86.3049,34.3698,64.654921,0.78,5,1,0.5,0.553961,0.689,96990,1614,151.6857408,25.683313
60277,Alabama_Mobile,-88.2084,30.7847,252.623645,0.82,5,1,0.57,0.519104,0.657,412716,3286,146.0495837,28.916681
2539,Alabama_Monroe,-87.37,31.5673,32.166073,0.65,4,1,0.12,0.597858,0.708,20459,2680,124.1018623,28.450006
28949,Alabama_Montgomery,-86.2097,32.2207,359.063871,0.77,5,1,0.54,0.491298,0.616,224639,2072,128.8689853,28.183313
16501,Alabama_Morgan,-86.8548,34.455,123.434119,0.74,5,1,0.37,0.551736,0.673,119883,1552,137.6425348,25.933344
1196,Alabama_Perry,-87.2977,32.6405,23.589111,0.5512,3,0,0.4151,0.591894,0.649,8687,1875,137.6769886,27.399988
2681,Alabama_Pickens,-88.0882,33.2809,32.215524,0.5597,4,1,0.1925,0.587865,0.657,19793,2304,135.4519274,27.000024
3778,Alabama_Pike,-85.9408,31.804,66.97258,0.74,5,1,0.77,0.501651,0.706,32966,1743,114.6029242,28.010004
2307,Alabama_Randolph,-85.4571,33.2953,35.992722,0.43,5,1,0,0.618941,0.756,22920,1513,100.6544503,26.683313
5275,Alabama_Russell,-85.1842,32.2873,222.457463,0.91,5,1,0.15,0.469686,0.723,58237,1677,90.57815478,28.183313
30521,Alabama_Shelby,-86.6623,33.2688,113.398369,0.84,5,1,0.51,0.493913,0.739,221428,2097,137.8371299,26.916681
12385,Alabama_St. Clair,-86.3103,33.719,49.022614,0.99,5,1,0.37,0.533441,0.723,90739,1692,136.4903735,25.450006
1163,Alabama_Sumter,-88.1992,32.5912,13.287573,0.44,4,1,0,0.556173,0.652,12225,2365,95.13292434,27.450006
10077,Alabama_Talladega,-86.1689,33.3782,69.264347,0.72,5,1,0.53,0.560557,0.729,79985,1969,125.9861224,26.950006
5257,Alabama_Tallapoosa,-85.7983,32.867,44.024046,0.47,5,1,0.89,0.626321,0.706,40133,1985,130.98946,26.707147
29142,Alabama_Tuscaloosa,-87.5256,33.2873,229.953626,0.82,5,1,0.19,0.443774,0.674,210758,3500,138.2723313,26.969995
8751,Alabama_Walker,-87.3003,33.8027,27.610996,0.74,5,1,1.1,0.591894,0.662,63143,2085,138.5901842,25.874994
2187,Alabama_Washington,-88.2069,31.4093,15.062123,0.31,3,0,0,0.585834,0.705,15976,2820,136.8928393,27.699976
1388,Alabama_Wilcox,-87.3089,31.9877,15.959195,0.11,4,1,0.442,0.587865,0.615,10206,2350,135.9984323,27.421442
3403,Alabama_Winston,-87.3733,34.1503,18.875757,0.44,4,1,0,0.638895,0.844,23508,1637,144.7592309,25.490015
12216,Arizona_Apache,-109.4892,35.3947,14.330121,0.55,4,1,0.09,0.501651,0.331,71875,29057,169.9617391,27.450006
12861,Arizona_Cochise,-109.7516,31.8793,36.781502,0.47,4,1,0.1,0.637125,0.506,127450,16107,100.9101608,31.416681
19532,Arizona_Coconino,-111.7707,35.8388,106.376388,0.83,4,1,0.1,0.415926,0.366,142481,48331,137.0849447,26.85
7926,Arizona_Gila,-110.8133,33.8019,120.098151,0.45,4,1,0.08,0.740327,0.522,54303,12421,145.9587868,23.050012
6012,Arizona_Graham,-109.8882,32.9317,13.150367,0.73,4,1,0,0.464082,0.523,39211,12018,153.3243223,22.683313
679,Arizona_Greenlee,-109.2405,33.215,3.939574,0.585,4,1,0.0663,0.434721,0.673,9341,4787,72.69029012,19.983331
2654,Arizona_La Paz,-113.981,33.7285,111.608411,0.17,4,1,0,0.857173,0.617,21480,11690,123.556797,35.189996
625004,Arizona_Maricopa,-112.4918,33.3484,885.046158,0.7,5,1,0.38,0.499089,0.559,4579081,23890,136.4911431,32.450006
27527,Arizona_Mohave,-113.7578,35.7047,64.466765,0.55,4,1,0.15,0.75484,0.678,217206,34865,126.7322265,30.550012
18147,Arizona_Navajo,-110.3219,35.3998,65.467597,0.56,4,1,0.18,0.556173,0.436,112112,25796,161.8649208,24.35
125194,Arizona_Pima,-111.789,32.0971,1864.797915,0.81,5,1,0.37,0.593893,0.456,1061175,23798,117.976771,34.000024
61048,Arizona_Pinal,-111.3449,32.9053,63.831505,0.55,5,1,0.35,0.605663,0.596,480828,13920,126.9643199,33.450006
8408,Arizona_Santa Cruz,-110.8479,31.5251,167.709624,1,4,1,0,0.556173,0.182,46808,3207,179.6274141,30.483331
22816,Arizona_Yavapai,-112.5539,34.5993,63.225914,0.92,4,1,0.16,0.767562,0.631,240226,21053,94.97722978,26.399988
38689,Arizona_Yuma,-113.9067,32.769,70.884199,1,4,1,0.08,0.579674,0.483,217824,14295,177.6158734,33.983331
3020,Arkansas_Arkansas,-91.3728,34.2915,39.575872,0.65,4,1,0.33,0.587865,0.578,3030522,2677,0.996527991,26.450006
2605,Arkansas_Ashley,-91.7698,33.1915,26.062481,0.67,4,1,0,0.607589,0.631,19339,2436,134.7018977,27.399988
5321,Arkansas_Baxter,-92.3378,36.2878,77.132822,0.58,5,1,0.5,0.778651,0.623,42242,1520,125.9646797,23.649988
36823,Arkansas_Benton,-94.2568,36.3364,108.452788,0.82,5,1,0.34,0.461248,0.609,288774,2290,127.5149425,23.416681
5491,Arkansas_Boone,-93.0937,36.3085,69.004291,0.51,5,1,0.1,0.6208,0.721,37625,1559,145.9401993,23.35
1730,Arkansas_Bradley,-92.1598,33.4676,5.333724,0.39,4,1,0,0.587865,0.57,10639,1691,162.6092678,26.475
522,Arkansas_Calhoun,-92.4997,33.556,32.41423,0.5588,3,0,0.1312,0.633558,0.726,5113,1638,102.0927049,26.183313
3771,Arkansas_Carroll,-93.5427,36.3404,48.577651,0.4,5,1,0,0.652764,0.673,28276,1654,133.3639836,23.050012
1814,Arkansas_Chicot,-91.2954,33.2646,46.912002,0.36,4,1,0,0.609505,0.584,9924,1790,182.7891979,27.050012
2733,Arkansas_Clark,-93.1748,34.0461,127.76574,0.54,5,1,0.05,0.538099,0.616,22103,2287,123.6483735,24.990015
